"title","industry","genre","year","director","cast","rating","description","poster_url"
"Qasam Se Qasam Se","Bollywood","Romance","2012","Ashfaque Makrani","Faith, Farhan, Satish Kaushik, Omkar Das Manikpuri","4.4","A Bollywood Romance film released in 2012, directed by Ashfaque Makrani and starring Faith, Farhan, Satish Kaushik, Omkar Das Manikpuri.",""
"Teen Thay Bhai","Bollywood","Comedy Drama","2011","Mrigdeep Singh Lamba","Om Puri, Deepak Dobriyal, Ragini Khanna, Naresh Gosain","4.4","A Bollywood Comedy Drama film released in 2011, directed by Mrigdeep Singh Lamba and starring Om Puri, Deepak Dobriyal, Ragini Khanna, Naresh Gosain.",""
"Bbuddah Hoga Terra Baap","Bollywood","Action Crime Drama","2011","Puri Jagannadh","Amitabh Bachchan, Hema Malini, Sonu Sood, Sonal Chauhan","5.3","A Bollywood Action Crime Drama film released in 2011, directed by Puri Jagannadh and starring Amitabh Bachchan, Hema Malini, Sonu Sood, Sonal Chauhan.",""
"Love Breakups Zindagi","Bollywood","Comedy Drama Romance","2011","Sahil Sangha","Zayed Khan, Dia Mirza, Cyrus Sahukar, Tisca Chopra","4.4","A Bollywood Comedy Drama Romance film released in 2011, directed by Sahil Sangha and starring Zayed Khan, Dia Mirza, Cyrus Sahukar, Tisca Chopra.",""
"404: Error Not Found","Bollywood","Drama Mystery Thriller","2011","Prawaal Raman","Sara Arjun, Rajvvir Aroraa, Aditya Banerjee, Mukesh Bhatt","4.4","A Bollywood Drama Mystery Thriller film released in 2011, directed by Prawaal Raman and starring Sara Arjun, Rajvvir Aroraa, Aditya Banerjee, Mukesh Bhatt.",""
"Chalo Dilli","Bollywood","Comedy Drama","2011","Shashant Shah","Vinay Pathak, Lara Dutta, Yana Gupta, Akshay Kumar","6.2","A Bollywood Comedy Drama film released in 2011, directed by Shashant Shah and starring Vinay Pathak, Lara Dutta, Yana Gupta, Akshay Kumar.",""
"Satrangee Parachute","Bollywood","Comedy Drama Family","2011","Vineet Khetrapal","Sanjay Mishra, Zakir Hussain, Lilliput, Rupali Ganguly","4.4","A Bollywood Comedy Drama Family film released in 2011, directed by Vineet Khetrapal and starring Sanjay Mishra, Zakir Hussain, Lilliput, Rupali Ganguly.",""
"Haunted - 3D","Bollywood","Horror Mystery Thriller","2011","Vikram Bhatt","Tia Bajpai, Krishna Bhatt, Mimoh Chakraborty, Nikita Janjani","8.9","A Bollywood Horror Mystery Thriller film released in 2011, directed by Vikram Bhatt and starring Tia Bajpai, Krishna Bhatt, Mimoh Chakraborty, Nikita Janjani.",""
"Monica","Bollywood","Drama Thriller","2011","Sushen Bhatnagar","Ashutosh Rana, Divya Dutta, Rajit Kapoor, Yashpal Sharma","4.4","A Bollywood Drama Thriller film released in 2011, directed by Sushen Bhatnagar and starring Ashutosh Rana, Divya Dutta, Rajit Kapoor, Yashpal Sharma.",""
"Ragini MMS","Bollywood","Drama Horror Mystery","2011","Pawan Kripalani","Kainaz Motivala, Rajkummar Rao, Rajat Kaul, Janice","8","A Bollywood Drama Horror Mystery film released in 2011, directed by Pawan Kripalani and starring Kainaz Motivala, Rajkummar Rao, Rajat Kaul, Janice.",""
"Once Upon a Time in Mumbai Dobaara!","Bollywood","Action Crime Drama","2013","Milan Luthria","Akshay Kumar, Pitobash, Sonakshi Sinha, Imran Khan","4.4","A Bollywood Action Crime Drama film released in 2013, directed by Milan Luthria and starring Akshay Kumar, Pitobash, Sonakshi Sinha, Imran Khan.",""
"Ye Stupid Pyar","Bollywood","Romance","2011","Jain Rakesh","Jatin Khurana, Noopur Patwardhan, Akansha, Sahil Vaid","4.4","A Bollywood Romance film released in 2011, directed by Jain Rakesh and starring Jatin Khurana, Noopur Patwardhan, Akansha, Sahil Vaid.",""
"Masti Express","Bollywood","Comedy Drama","2011","Vikram Pradhan","Rajpal Yadav, Johnny Lever, Divya Dutta, Jaikumar Banotia","4.4","A Bollywood Comedy Drama film released in 2011, directed by Vikram Pradhan and starring Rajpal Yadav, Johnny Lever, Divya Dutta, Jaikumar Banotia.",""
"Vikalp","Bollywood","Crime Drama Mystery","2011","Sachin P. Karande","Pankaj Berry, Abhay Joshi, Jyoti Joshi, Abhijeet Leheri","4.4","A Bollywood Crime Drama Mystery film released in 2011, directed by Sachin P. Karande and starring Pankaj Berry, Abhay Joshi, Jyoti Joshi, Abhijeet Leheri.",""
"Mumbai Mast Kallander","Bollywood","Action Comedy Crime","2011","Musavir Jaleel, Aman Mihani","Mohsin, Muzzi, Shilpa Shukla, Luna","4.4","A Bollywood Action Comedy Crime film released in 2011, directed by Musavir Jaleel, Aman Mihani and starring Mohsin, Muzzi, Shilpa Shukla, Luna.",""
"Tum Hi To Ho...","Bollywood","Drama Mystery Thriller","2011","Sanjay Goel","Vipinno, Madhavi Sharma, Sarvar Ahuja, Vivek Shaq","4.4","A Bollywood Drama Mystery Thriller film released in 2011, directed by Sanjay Goel and starring Vipinno, Madhavi Sharma, Sarvar Ahuja, Vivek Shaq.",""
"Men Will Be Men","Bollywood","Comedy","2011","Gorky","Gaurav Chopra, Zeenal Kamdar, Rajesh Khattar, Rohit Khuranna","4.4","A Bollywood Comedy film released in 2011, directed by Gorky and starring Gaurav Chopra, Zeenal Kamdar, Rajesh Khattar, Rohit Khuranna.",""
"Bengaloored","Bollywood","Drama Romance","2010","Swaroop Kanchi","Harish Raj, Meghana Mudiyam, Srinivasa Prabhu, Lakshmi Chandrashekar","4.4","A Bollywood Drama Romance film released in 2010, directed by Swaroop Kanchi and starring Harish Raj, Meghana Mudiyam, Srinivasa Prabhu, Lakshmi Chandrashekar.",""
"The Camp","Bollywood","Adventure Drama","2010","Nitin Mahadar","Sonali Kulkarni, Sanjay Mishra, Rakesh Bedi, Krishna Bhatt","4.4","A Bollywood Adventure Drama film released in 2010, directed by Nitin Mahadar and starring Sonali Kulkarni, Sanjay Mishra, Rakesh Bedi, Krishna Bhatt.",""
"Shor in the City","Bollywood","Crime Drama","2011","Krishna D.K., Raj Nidimoru","Sendhil Ramamurthy, Tusshar Kapoor, Nikhil Dwivedi, Preeti Desai","5.3","A Bollywood Crime Drama film released in 2011, directed by Krishna D.K., Raj Nidimoru and starring Sendhil Ramamurthy, Tusshar Kapoor, Nikhil Dwivedi, Preeti Desai.",""
"5ters: Castle of Dark Master","Bollywood","Action Adventure Fantasy","2011","G. Venugopal","Akash, Avinash, Gagan, Hithaishaini","4.4","A Bollywood Action Adventure Fantasy film released in 2011, directed by G. Venugopal and starring Akash, Avinash, Gagan, Hithaishaini.",""
"A Strange Love Story","Bollywood","Drama","2011","Tarique Khan, Sahil Seth","Gunjan Bakshi, Snehal Dabi, Milind Gunaji, Ehsan Khan","4.4","A Bollywood Drama film released in 2011, directed by Tarique Khan, Sahil Seth and starring Gunjan Bakshi, Snehal Dabi, Milind Gunaji, Ehsan Khan.",""
"Joker","Bollywood","Comedy Sci-Fi","2012","Shirish Kunder","Asrani, Avtar Gill, Gurpreet Guggi, Greg Heffernan","4.4","A Bollywood Comedy Sci-Fi film released in 2012, directed by Shirish Kunder and starring Asrani, Avtar Gill, Gurpreet Guggi, Greg Heffernan.",""
"Luv Ka the End","Bollywood","Comedy Drama","2011","Bumpy","Riya Bamniyal, Bumpy, Sreejita De, Shraddha Kapoor","5.3","A Bollywood Comedy Drama film released in 2011, directed by Bumpy and starring Riya Bamniyal, Bumpy, Sreejita De, Shraddha Kapoor.",""
"Murder 2","Bollywood","Action Crime Drama","2011","Mohit Suri","Jacqueline Fernandez, Yana Gupta, Emraan Hashmi, Amardeep Jha","9.8","A Bollywood Action Crime Drama film released in 2011, directed by Mohit Suri and starring Jacqueline Fernandez, Yana Gupta, Emraan Hashmi, Amardeep Jha.",""
"Khuda Kasam","Bollywood","Action Crime Drama","2010","K.C. Bokadia","Beena Banerjee, Sunny Deol, Farida Jalal, Raza Murad","4.4","A Bollywood Action Crime Drama film released in 2010, directed by K.C. Bokadia and starring Beena Banerjee, Sunny Deol, Farida Jalal, Raza Murad.",""
"Queens! Destiny of Dance","Bollywood","Musical","2011","David Atkins","Seema Biswas","4.4","A Bollywood Musical film released in 2011, directed by David Atkins and starring Seema Biswas.",""
"Pyaar Ka Punchnama","Bollywood","Comedy Drama Romance","2011","Luv Ranjan","Raayo S. Bakhirta, Nushrat Bharucha, Padam Bhola, Sonalli Sehgal","7.1","A Bollywood Comedy Drama Romance film released in 2011, directed by Luv Ranjan and starring Raayo S. Bakhirta, Nushrat Bharucha, Padam Bhola, Sonalli Sehgal.",""
"Mallika","Bollywood","Drama Horror Mystery","2010","Wilson Louis","Anirudh Agarwal, Puja Ballutia, Sammir Dattani, Dunger","4.4","A Bollywood Drama Horror Mystery film released in 2010, directed by Wilson Louis and starring Anirudh Agarwal, Puja Ballutia, Sammir Dattani, Dunger.",""
"Delhi Belly","Bollywood","Comedy Crime Drama","2011","Abhinay Deo, Akshat Verma","Imran Khan, Vir Das, Kunaal Roy Kapur, Shenaz Treasury","8.9","A Bollywood Comedy Crime Drama film released in 2011, directed by Abhinay Deo, Akshat Verma and starring Imran Khan, Vir Das, Kunaal Roy Kapur, Shenaz Treasury.",""
"Nakshatra","Bollywood","Crime Drama Mystery","2010","Mohan Savalkar","Malaika Arora, Suresh Chatwal, Gajendra Chouhan, Anant Jog","4.4","A Bollywood Crime Drama Mystery film released in 2010, directed by Mohan Savalkar and starring Malaika Arora, Suresh Chatwal, Gajendra Chouhan, Anant Jog.",""
"Always Kabhi Kabhi","Bollywood","Comedy Crime Drama","2011","Roshan Abbas","Lillete Dubey, Satyajeet Dubey, Ali Fazal, Manoj Joshi","4.4","A Bollywood Comedy Crime Drama film released in 2011, directed by Roshan Abbas and starring Lillete Dubey, Satyajeet Dubey, Ali Fazal, Manoj Joshi.",""
"Vroom","Bollywood","Action Comedy Crime","2010","Savin Tuscano","Raj Singh Arora, Gaurav Bajaj, Kalpana Bora, Kishore Chougule","4.4","A Bollywood Action Comedy Crime film released in 2010, directed by Savin Tuscano and starring Raj Singh Arora, Gaurav Bajaj, Kalpana Bora, Kishore Chougule.",""
"Bheja Fry 2","Bollywood","Comedy Drama","2011","Sagar Ballary","Vinay Pathak, Kay Kay Menon, Minissha Lamba, Rukhsar","6.2","A Bollywood Comedy Drama film released in 2011, directed by Sagar Ballary and starring Vinay Pathak, Kay Kay Menon, Minissha Lamba, Rukhsar.",""
"Soundtrack","Bollywood","Drama Musical","2011","Neerav Ghosh","Rajeev Khandelwal, Soha Ali Khan, Mrinalini Sharma, Mohan Kapoor","4.4","A Bollywood Drama Musical film released in 2011, directed by Neerav Ghosh and starring Rajeev Khandelwal, Soha Ali Khan, Mrinalini Sharma, Mohan Kapoor.",""
"Kucch Luv Jaisaa","Bollywood","Crime Drama Thriller","2011","Shukla Barnali Ray","Shefali Shetty, Om Puri, Rahul Bose, Neetu Chandra","4.4","A Bollywood Crime Drama Thriller film released in 2011, directed by Shukla Barnali Ray and starring Shefali Shetty, Om Puri, Rahul Bose, Neetu Chandra.",""
"Bin Bulaye Baraati","Bollywood","Action Comedy Crime","2011","Chandrakant Singh","Rati Agnihotri, Shweta Bhardwaj, Gulshan Grover, Manoj Joshi","4.4","A Bollywood Action Comedy Crime film released in 2011, directed by Chandrakant Singh and starring Rati Agnihotri, Shweta Bhardwaj, Gulshan Grover, Manoj Joshi.",""
"Impatient Vivek","Bollywood","Comedy Drama Romance","2011","Rahat Kazmi","Vivek Sudershan, Sayali Bhagat, Ronnaoq Ahuja, Chari Asopa","4.4","A Bollywood Comedy Drama Romance film released in 2011, directed by Rahat Kazmi and starring Vivek Sudershan, Sayali Bhagat, Ronnaoq Ahuja, Chari Asopa.",""
"Singham","Bollywood","Action Crime Drama","2011","Rohit Shetty","Ajay Devgn, Kajal Agarwal, Prakash Raj, Sonali Kulkarni","9.8","A Bollywood Action Crime Drama film released in 2011, directed by Rohit Shetty and starring Ajay Devgn, Kajal Agarwal, Prakash Raj, Sonali Kulkarni.",""
"The Waiting Room","Bollywood","Crime Drama Mystery","2010","Maneej Premnath","Raj Singh Chaudhary, Radhika Apte, Sandeep Kulkarni, Prateeksha Lonkar","4.4","A Bollywood Crime Drama Mystery film released in 2010, directed by Maneej Premnath and starring Raj Singh Chaudhary, Radhika Apte, Sandeep Kulkarni, Prateeksha Lonkar.",""
"Heroine","Bollywood","Drama","2012","Madhur Bhandarkar","Kareena Kapoor, Arjun Rampal, Randeep Hooda, Shahana Goswami","6.2","A Bollywood Drama film released in 2012, directed by Madhur Bhandarkar and starring Kareena Kapoor, Arjun Rampal, Randeep Hooda, Shahana Goswami.",""
"The Dirty Picture","Bollywood","Biography Comedy Drama","2011","Milan Luthria","Vidya Balan, Emraan Hashmi, Tusshar Kapoor, Naseeruddin Shah","9.8","A Bollywood Biography Comedy Drama film released in 2011, directed by Milan Luthria and starring Vidya Balan, Emraan Hashmi, Tusshar Kapoor, Naseeruddin Shah.",""
"Gangs of Wasseypur","Bollywood","Action Crime Drama","2012","Anurag Kashyap","Manoj Bajpayee, Richa Chadda, Nawazuddin Siddiqui, Tigmanshu Dhulia","6.2","A Bollywood Action Crime Drama film released in 2012, directed by Anurag Kashyap and starring Manoj Bajpayee, Richa Chadda, Nawazuddin Siddiqui, Tigmanshu Dhulia.",""
"Ladies vs. Ricky Bahl","Bollywood","Comedy Drama","2011","Maneesh Sharma","Ranveer Singh, Anushka Sharma, Parineeti Chopra, Dipannita Sharma","7.1","A Bollywood Comedy Drama film released in 2011, directed by Maneesh Sharma and starring Ranveer Singh, Anushka Sharma, Parineeti Chopra, Dipannita Sharma.",""
"Ata Pata Lapatta","Bollywood","Comedy Musical","2012","Rajpal Yadav","Asrani, Amit Behl, Krishna Bhatt, Raja Bherwani","4.4","A Bollywood Comedy Musical film released in 2012, directed by Rajpal Yadav and starring Asrani, Amit Behl, Krishna Bhatt, Raja Bherwani.",""
"Good Luck!","Bollywood","Comedy Drama","2008","Aditya Datt","Aryeman Ramsay, Sayali Bhagat, Sharat Saxena, Archana Puran Singh","4.4","A Bollywood Comedy Drama film released in 2008, directed by Aditya Datt and starring Aryeman Ramsay, Sayali Bhagat, Sharat Saxena, Archana Puran Singh.",""
"Tell Me O Kkhuda","Bollywood","Action Crime Drama","2011","Hema Malini","Dharmendra, Vinod Khanna, Rishi Kapoor, Farooq Shaikh","4.4","A Bollywood Action Crime Drama film released in 2011, directed by Hema Malini and starring Dharmendra, Vinod Khanna, Rishi Kapoor, Farooq Shaikh.",""
"Love Express","Bollywood","Comedy Drama","2011","Sunny Bhambhani","Sahil Mehta, Mannat Ravi, Vikas Katyal, Priyam Galav","4.4","A Bollywood Comedy Drama film released in 2011, directed by Sunny Bhambhani and starring Sahil Mehta, Mannat Ravi, Vikas Katyal, Priyam Galav.",""
"Suno Na.. Ek Nanhi Aawaz","Bollywood","Drama","2009","Amy Thanawala","Tara Sharma, Makrand Shukla, Rajendra Chawla, Rinku Patel","4.4","A Bollywood Drama film released in 2009, directed by Amy Thanawala and starring Tara Sharma, Makrand Shukla, Rajendra Chawla, Rinku Patel.",""
"Chala Mussaddi - Office Office","Bollywood","Comedy Drama","2011","Rajiv Mehra","Deven Bhojani, Makrand Deshpande, Vinay Jain, Farida Jalal","4.4","A Bollywood Comedy Drama film released in 2011, directed by Rajiv Mehra and starring Deven Bhojani, Makrand Deshpande, Vinay Jain, Farida Jalal.",""
"Gandhi to Hitler","Bollywood","Drama History War","2011","Rakesh Ranjan Kumar","Raghuvir Yadav, Neha Dhupia, Aman Verma, Nassar Abdulla","4.4","A Bollywood Drama History War film released in 2011, directed by Rakesh Ranjan Kumar and starring Raghuvir Yadav, Neha Dhupia, Aman Verma, Nassar Abdulla.",""
"Housefull 2","Bollywood","Comedy Romance","2012","Sajid Khan","Akshay Kumar, Asin, John Abraham, Jacqueline Fernandez","9.8","A Bollywood Comedy Romance film released in 2012, directed by Sajid Khan and starring Akshay Kumar, Asin, John Abraham, Jacqueline Fernandez.",""
"Dekh Bhai Dekh: Laughter Behind Darkness","Bollywood","Comedy Crime Drama","2009","Rahat Kazmi","Gracy Singh, Siddharth Koirala, Raghuvir Yadav, Vijay Raaz","4.4","A Bollywood Comedy Crime Drama film released in 2009, directed by Rahat Kazmi and starring Gracy Singh, Siddharth Koirala, Raghuvir Yadav, Vijay Raaz.",""
"Desi Boyz","Bollywood","Comedy Drama","2011","Rohit Dhawan","Bruna Abdullah, John Abraham, Shekhar Bassi, Peter Brown","5.3","A Bollywood Comedy Drama film released in 2011, directed by Rohit Dhawan and starring Bruna Abdullah, John Abraham, Shekhar Bassi, Peter Brown.",""
"Ishkq in Paris","Bollywood","Comedy Romance","2013","Prem Soni","Preity Zinta, Isabelle Adjani, Gaurav Chanana, Fanny Carbonnel","4.4","A Bollywood Comedy Romance film released in 2013, directed by Prem Soni and starring Preity Zinta, Isabelle Adjani, Gaurav Chanana, Fanny Carbonnel.",""
"Chal Chalein","Bollywood","Drama","2009","Ujjwal Singh","Javed Abedi, Anand Abhyankar, Adityansh, Lalit Agarwal","4.4","A Bollywood Drama film released in 2009, directed by Ujjwal Singh and starring Javed Abedi, Anand Abhyankar, Adityansh, Lalit Agarwal.",""
"Force","Bollywood","Action Crime Drama","2011","Nishikant Kamat","John Abraham, Genelia D'Souza, Raj Babbar, Mohnish Bahl","5.3","A Bollywood Action Crime Drama film released in 2011, directed by Nishikant Kamat and starring John Abraham, Genelia D'Souza, Raj Babbar, Mohnish Bahl.",""
"Toss: A Flip of Destiny","Bollywood","Crime Drama Thriller","2009","Ramesh Khatkar","Rannvijay Singh, Madhurima Banerjee, Prashant Raj, Ashmit Patel","4.4","A Bollywood Crime Drama Thriller film released in 2009, directed by Ramesh Khatkar and starring Rannvijay Singh, Madhurima Banerjee, Prashant Raj, Ashmit Patel.",""
"Aamras: The Sweet Taste of Friendship","Bollywood","Drama","2009","Rupali Guha","Vega Tamotia, Ntasha Bhardwaj, Maanvi Gagroo, Aanchal Sabharwal","4.4","A Bollywood Drama film released in 2009, directed by Rupali Guha and starring Vega Tamotia, Ntasha Bhardwaj, Maanvi Gagroo, Aanchal Sabharwal.",""
"Bachelor Party","Bollywood","Comedy Drama","2009","Ishaan Trivedi","Jimmy Shergill, Arbaaz Khan, Nauheed Cyrusi, Sharat Saxena","4.4","A Bollywood Comedy Drama film released in 2009, directed by Ishaan Trivedi and starring Jimmy Shergill, Arbaaz Khan, Nauheed Cyrusi, Sharat Saxena.",""
"Cycle Kick","Bollywood","Drama Sport","2011","Shashi Sudigala","Nishan Nanaiah, Sunny Hinduja, Girija Oak, Ishita Sharma","4.4","A Bollywood Drama Sport film released in 2011, directed by Shashi Sudigala and starring Nishan Nanaiah, Sunny Hinduja, Girija Oak, Ishita Sharma.",""
"Not a Love Story","Bollywood","Crime Drama Thriller","2011","Ram Gopal Varma","Rohit G. Banawlikar, Deepak Dobriyal, Ajay Gehi, Mahie Gill","5.3","A Bollywood Crime Drama Thriller film released in 2011, directed by Ram Gopal Varma and starring Rohit G. Banawlikar, Deepak Dobriyal, Ajay Gehi, Mahie Gill.",""
"Ashok Chakra: Tribute to Real Heroes","Bollywood","Action","2010","S.P. Muneshwar","Rajan Verma, Sudesh Berry, Arun Bakshi, Sandip Munde","4.4","A Bollywood Action film released in 2010, directed by S.P. Muneshwar and starring Rajan Verma, Sudesh Berry, Arun Bakshi, Sandip Munde.",""
"Bubble Gum","Bollywood","Drama","2011","Sanjivan Lal","Apoorva Arora, Apporva Arora, Tanvi Azmi, Delzad Hiwale","4.4","A Bollywood Drama film released in 2011, directed by Sanjivan Lal and starring Apoorva Arora, Apporva Arora, Tanvi Azmi, Delzad Hiwale.",""
"Aagaah: The Warning","Bollywood","Drama Horror Thriller","2011","Karan Razdan","Ila Arun, Anang Desai, Zakir Hussain, Satish Kaushik","4.4","A Bollywood Drama Horror Thriller film released in 2011, directed by Karan Razdan and starring Ila Arun, Anang Desai, Zakir Hussain, Satish Kaushik.",""
"Ek Tha Tiger","Bollywood","Action Romance Thriller","2012","Kabir Khan","Salman Khan, Katrina Kaif, Ranvir Shorey, Girish Karnad","10.7","A Bollywood Action Romance Thriller film released in 2012, directed by Kabir Khan and starring Salman Khan, Katrina Kaif, Ranvir Shorey, Girish Karnad.",""
"Phhir","Bollywood","Drama Mystery Romance","2011","Girish Dhamija","Mohan Agashe, Kasturi Banerjee, Roshni Chopra, Rajneesh Duggal","4.4","A Bollywood Drama Mystery Romance film released in 2011, directed by Girish Dhamija and starring Mohan Agashe, Kasturi Banerjee, Roshni Chopra, Rajneesh Duggal.",""
"Kyaa Super Kool Hain Hum","Bollywood","Comedy","2012","Sachin Yardi","Anupam Kher, Ritesh Deshmukh, Rohit Shetty, Tusshar Kapoor","8","A Bollywood Comedy film released in 2012, directed by Sachin Yardi and starring Anupam Kher, Ritesh Deshmukh, Rohit Shetty, Tusshar Kapoor.",""
"Stand By","Bollywood","Drama Sport Thriller","2011","Sanjay Soorkar","Siddharth Kher, Sachin Khedekar, Dalip Tahil, Nagesh Bhonsle","4.4","A Bollywood Drama Sport Thriller film released in 2011, directed by Sanjay Soorkar and starring Siddharth Kher, Sachin Khedekar, Dalip Tahil, Nagesh Bhonsle.",""
"Shabri","Bollywood","Action Crime Drama","2011","Lalit Marathe","Isha Koppikar, Raj Arjun, Manish Wadhwa, Pradeep Singh Rawat","4.4","A Bollywood Action Crime Drama film released in 2011, directed by Lalit Marathe and starring Isha Koppikar, Raj Arjun, Manish Wadhwa, Pradeep Singh Rawat.",""
"Hair is Falling: A Serious Comedy Film","Bollywood","Comedy Drama","2011","Vicky Bhardwaj","Rajesh Bhardwaj, Sanjana Tiwari, Priyanka, Mahender Singh Bist","4.4","A Bollywood Comedy Drama film released in 2011, directed by Vicky Bhardwaj and starring Rajesh Bhardwaj, Sanjana Tiwari, Priyanka, Mahender Singh Bist.",""
"Aazaan","Bollywood","Action Drama Mystery","2011","Prashant Chadha","Sachiin Joshi, Candice Boucher, Arya Babbar, Samy Gharbi","4.4","A Bollywood Action Drama Mystery film released in 2011, directed by Prashant Chadha and starring Sachiin Joshi, Candice Boucher, Arya Babbar, Samy Gharbi.",""
"Hum Tum Shabana","Bollywood","Comedy Crime Drama","2011","Sagar Ballary","Tusshar Kapoor, Shreyas Talpade, Minissha Lamba, Mantra","4.4","A Bollywood Comedy Crime Drama film released in 2011, directed by Sagar Ballary and starring Tusshar Kapoor, Shreyas Talpade, Minissha Lamba, Mantra.",""
"Hum Do Anjaane","Bollywood","Action Crime Drama","2011","Milind Swamy","Naresh Kaura, Ankita Bhargava, Jackie Shroff, Avtar Gill","4.4","A Bollywood Action Crime Drama film released in 2011, directed by Milind Swamy and starring Naresh Kaura, Ankita Bhargava, Jackie Shroff, Avtar Gill.",""
"Mod","Bollywood","Drama Romance Thriller","2011","Nagesh Kukunoor","Ayesha Takia, Rannvijay Singh, Raghuvir Yadav, Tanvi Azmi","4.4","A Bollywood Drama Romance Thriller film released in 2011, directed by Nagesh Kukunoor and starring Ayesha Takia, Rannvijay Singh, Raghuvir Yadav, Tanvi Azmi.",""
"Jaana Pehchana","Bollywood","Drama","2011","Sachin","Birbal, Pushkar Jog, Ranjeeta Kaur, Neelu Kohli","4.4","A Bollywood Drama film released in 2011, directed by Sachin and starring Birbal, Pushkar Jog, Ranjeeta Kaur, Neelu Kohli.",""
"Mujhse Fraaandship Karoge","Bollywood","Comedy Drama Romance","2011","Nupur Asthana","Saqib Saleem, Saba Azaad, Nishant Dahiya, Tara D'Souza","5.3","A Bollywood Comedy Drama Romance film released in 2011, directed by Nupur Asthana and starring Saqib Saleem, Saba Azaad, Nishant Dahiya, Tara D'Souza.",""
"Maruti Mera Dosst","Bollywood","Animation Adventure Drama","2009","Manikya Raju","Shahbaaz Khan, Sushmita Mukherjee, Erik A. Nanda, Ritika Shah","4.4","A Bollywood Animation Adventure Drama film released in 2009, directed by Manikya Raju and starring Shahbaaz Khan, Sushmita Mukherjee, Erik A. Nanda, Ritika Shah.",""
"Kya Dilli Kya Lahore","Bollywood","Drama History War","2014","Vijay Raaz, Karan Arora","Vijay Raaz, Manu Rishi Chadha, Rajendranath Zutshi, Vishwajeet Pradhan","4.4","A Bollywood Drama History War film released in 2014, directed by Vijay Raaz, Karan Arora and starring Vijay Raaz, Manu Rishi Chadha, Rajendranath Zutshi, Vishwajeet Pradhan.",""
"I, Me aur Main","Bollywood","Drama","2013","Kapil Sharma","John Abraham, Chitrangda Singh, Prachi Desai, Mini Mathur","5.3","A Bollywood Drama film released in 2013, directed by Kapil Sharma and starring John Abraham, Chitrangda Singh, Prachi Desai, Mini Mathur.",""
"London Paris New York","Bollywood","Romance","2012","Anu Menon","Ali Zafar, Aditi Rao Hydari, Candice Pereira, Scherrikar Bell","5.3","A Bollywood Romance film released in 2012, directed by Anu Menon and starring Ali Zafar, Aditi Rao Hydari, Candice Pereira, Scherrikar Bell.",""
"Lottery","Bollywood","Crime Drama Mystery","2009","Hemant Prabhu","Abhijeet, Rucha Gujrati, Manisha Kelkar, Nassar Abdulla","4.4","A Bollywood Crime Drama Mystery film released in 2009, directed by Hemant Prabhu and starring Abhijeet, Rucha Gujrati, Manisha Kelkar, Nassar Abdulla.",""
"Shortcut Romeo","Bollywood","Action Crime Romance","2013","Susi Ganesan","Neil Nitin Mukesh, Ameesha Patel, Puja Gupta, Jatin Grewal","4.4","A Bollywood Action Crime Romance film released in 2013, directed by Susi Ganesan and starring Neil Nitin Mukesh, Ameesha Patel, Puja Gupta, Jatin Grewal.",""
"Jugaad","Bollywood","Comedy Drama","2009","R. Anand Kumar","Manoj Bajpayee, Hrishitaa Bhatt, Vijay Raaz, Govind Namdeo","4.4","A Bollywood Comedy Drama film released in 2009, directed by R. Anand Kumar and starring Manoj Bajpayee, Hrishitaa Bhatt, Vijay Raaz, Govind Namdeo.",""
"Mummy Punjabi: Superman Ki Bhi Maa!!","Bollywood","Comedy Drama","2011","Pammi Somal","Kiron Kher, Kanwaljit Singh, Jackie Shroff, Anju Mahendru","4.4","A Bollywood Comedy Drama film released in 2011, directed by Pammi Somal and starring Kiron Kher, Kanwaljit Singh, Jackie Shroff, Anju Mahendru.",""
"Shanghai","Bollywood","Crime Thriller","2012","Dibakar Banerjee","Emraan Hashmi, Abhay Deol, Prasenjit Chatterjee, Kalki Koechlin","5.3","A Bollywood Crime Thriller film released in 2012, directed by Dibakar Banerjee and starring Emraan Hashmi, Abhay Deol, Prasenjit Chatterjee, Kalki Koechlin.",""
"Saheb Biwi Aur Gangster","Bollywood","Action Crime Drama","2011","Tigmanshu Dhulia","Randeep Hooda, Mahie Gill, Jimmy Shergill, Shreya Narayan","6.2","A Bollywood Action Crime Drama film released in 2011, directed by Tigmanshu Dhulia and starring Randeep Hooda, Mahie Gill, Jimmy Shergill, Shreya Narayan.",""
"Rowdy Rathore","Bollywood","Action Comedy","2012","Prabhudheva","Akshay Kumar, Sonakshi Sinha, Nasser, Paresh Ganatra","10.7","A Bollywood Action Comedy film released in 2012, directed by Prabhudheva and starring Akshay Kumar, Sonakshi Sinha, Nasser, Paresh Ganatra.",""
"Barfi!","Bollywood","Adventure Comedy Drama","2012","Anurag Basu","Ranbir Kapoor, Priyanka Chopra, Ileana, Saurabh Shukla","9.8","A Bollywood Adventure Comedy Drama film released in 2012, directed by Anurag Basu and starring Ranbir Kapoor, Priyanka Chopra, Ileana, Saurabh Shukla.",""
"Jo Dooba So Paar: It's Love in Bihar!","Bollywood","Comedy Crime Drama","2011","Praveen Kumar","Anand Tiwari, Rajat Kapoor, Sita Spada, Dadhi Raj","4.4","A Bollywood Comedy Crime Drama film released in 2011, directed by Praveen Kumar and starring Anand Tiwari, Rajat Kapoor, Sita Spada, Dadhi Raj.",""
